VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,27.99,375,12664,253153.36,12119,332234.81,198765.83,4756.57,68054.7,79081.45,23.80288,0.956964624,1.312385544
11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,36.99,1750,9472,252997.12,9109,323428.91,210310.83,16742.88,20964.81,70431.79,21.77659,0.96167652,1.278389691
8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,41.99,750,9588,252260.28,9337,334079.63,208416.15,7356.72,48347.26,81819.35,24.49097,0.973821443,1.324344958
1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,44.99,750,7418,250950.94,6658,303998.42,179485.9,5246.55,68601.68,53047.48,17.44992,0.897546508,1.211385859
480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375,20841,250508.82,20370,303207.3,131327.43,8002.79,89286.27,52698.48,17.38035,0.977400317,1.210365767
3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,14.99,1750,22379,250421.01,21500,329242,131701,39505.41,30234.42,78820.99,23.94014,0.960722106,1.314753902
17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,31.99,750,11427,250137.03,10418,325119.82,188947.77,8208.39,123780.22,74982.79,23.06312,0.911700359,1.299766852
3089,SIDNEY FRANK IMPORTING CO,812,Jagermeister Liqueur,17.03,22.99,1000,14663,249710.89,14479,313344.21,150325.84,15202.95,8549.55,63633.32,20.30780,0.987451408,1.254827973
1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,16.99,3000,23567,249574.53,23511,426705.89,183298.41,10579.95,79528.99,177131.36,41.51135,0.997623796,1.709733321
9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,13.99,750,38456,246887.52,37020,451247.84,112547.09,4149.3,55551.82,204360.32,45.28782,0.962658623,1.82774666
12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,10.49,1750,32485,246886,32157,341285.93,141623.07,59081.19,123880.97,94399.93,27.66007,0.989903032,1.382362426
8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,38.99,1000,8781,245780.19,8616,331221.84,188002.23,9046.8,48347.26,85441.65,25.79590,0.981209429,1.347634405
12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,44.99,750,7861,245577.64,7748,346877.52,221250.89,6104.98,123880.97,101299.88,29.20336,0.985625239,1.412496349
1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,49.99,1750,6664,244968.64,6590,338434.1,236839.04,12113.66,68601.68,93465.46,27.61703,0.988895558,1.381540511
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750,12950,243330.5,12094,312799.06,182038.84,22225.65,89286.27,69468.56,22.20869,0.933899614,1.285490557
4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,14.99,750,27503,240651.25,25987,362244.09,128359.86,2906.53,144929.24,121592.84,33.56655,0.944878741,1.505265774
12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,24.99,750,14303,240004.34,14254,329579.46,163977.29,11227.39,123880.97,89575.12,27.17861,0.996574145,1.373222918
4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,34.99,750,10641,238464.81,10274,348353.42,127288.02,1147.88,144929.24,109888.61,31.54515,0.96551076,1.460816881
3960,DIAGEO NORTH AMERICA INC,2748,Johnnie Walker Blue Label,240.59,319.99,1750,991,238424.69,964,307040.36,225202.97,1772.12,257032.07,68615.67,22.34744,0.972754793,1.287787603
1128,BROWN-FORMAN CORP,8526,Chambord Royale de France,20.43,27.99,750,11634,237682.62,12449,355263.51,221828.39,9806.76,68601.68,117580.89,33.09681,1.070053292,1.494697046
8112,MOET HENNESSY USA INC,115,Belvedere Vodka,21.37,27.99,1000,11119,237613.03,10255,287037.45,136171.35,10767.75,48347.26,49424.42,17.21881,0.92229517,1.208003829
3960,DIAGEO NORTH AMERICA INC,4734,Capt Morgan Cannon Blast,11.9,16.99,750,19847,236179.3,18637,280600.63,138684,14677.03,257032.07,44421.33,15.83080,0.939033607,1.188083079
1392,CONSTELLATION BRANDS INC,8498,R M Woodbridge Svgn Bl Cal,5.84,8.99,1500,40293,235311.12,39910,402153.9,124011.33,8958.21,79528.99,166842.78,41.48730,0.990494627,1.70903058
3960,DIAGEO NORTH AMERICA INC,4429,Capt Morgan Silver Spicd Rum,17.31,22.99,1750,13569,234879.39,13116,301339.84,174606.04,24103.19,257032.07,66460.45,22.05498,0.966615078,1.282955648
10000,MAJESTIC FINE WINES,24327,La Crema Pnt Nr Sonoma Cst,13.1,19.99,750,17856,233913.6,15704,323546.96,125859.5,1754,17587.59,89633.36,27.70335,0.879480287,1.383190033
3664,WILLIAM GRANT & SONS INC,4218,Sailor Jerry Spiced Navy Rum,12.31,16.99,750,18993,233803.83,16583,286511.17,165062.82,13062.31,30234.42,52707.34,18.39626,0.873111146,1.225434032
3664,WILLIAM GRANT & SONS INC,2398,Tullamore Dew,16.4,20.99,750,14238,233503.2,13347,300055.53,174270.02,10514.58,30234.42,66552.33,22.18000,0.937420986,1.285016779
10754,PERFECTA WINES,2531,WhistlePig 10 Yr Old Rye,46.37,63.99,750,5011,232360.07,4102,288456.98,204948.87,3233.6,28720.52,56096.91,19.44724,0.818599082,1.241422332
1128,BROWN-FORMAN CORP,5299,Southern Comfort,15.26,21.99,1750,15196,231890.96,15234,349220.66,136423.8,27990.82,68601.68,117329.7,33.59758,1.002500658,1.505969271
10754,PERFECTA WINES,43223,Ch Beauchene Cotes du Rhone,5.93,8.99,750,38980,231151.4,38054,365707.74,100440.71,4262.96,28720.52,134556.34,36.79341,0.976244228,1.582113455
1392,CONSTELLATION BRANDS INC,3804,Svedka Vodka,7.63,12.99,750,30170,230197.1,29953,308911.47,143881.53,23583.08,79528.99,78714.37,25.48121,0.992807425,1.341943361
1392,CONSTELLATION BRANDS INC,6565,Clos du Bois Cab Svgn N Cst,5.99,10.99,750,38180,228698.2,37769,352579.31,95914.87,4231.89,79528.99,123881.11,35.13567,0.989235202,1.541679427
1392,CONSTELLATION BRANDS INC,29248,Toasted Head Chard,6.53,9.99,750,34803,227263.59,33858,360783.42,101906.47,3792.69,79528.99,133519.83,37.00831,0.972847168,1.587510872
8892,TRINCHERO FAMILY ESTATES,12771,Joel Gott Cab Svgn 815,8.44,12.99,750,26874,226816.56,25372,339061.28,109807.91,2839.34,11595.97,112244.72,33.10455,0.944109548,1.494870039
3960,DIAGEO NORTH AMERICA INC,1380,Bulleit 95 Rye,34.05,49.99,1750,6655,226602.75,6486,315297.14,208791.13,11921.34,257032.07,88694.39,28.13041,0.97460556,1.391409151
9815,WINE GROUP INC,11826,Cupcake Chard,4.72,6.99,750,47943,226290.96,46616,350764.84,84403.3,5225.62,27100.41,124473.88,35.48642,0.972321298,1.550061213
12546,JIM BEAM BRANDS COMPANY,8066,DeKuyper Triple Sec,7.13,8.99,1750,31564,225051.32,31254,285991.46,109083.44,57425.27,123880.97,60940.14,21.30838,0.990178685,1.270783304
9815,WINE GROUP INC,14706,Cupcake Prosecco,4.6,8.99,750,48442,222833.2,47545,422212.55,95398.91,5332.48,27100.41,199379.35,47.22251,0.981483011,1.894747057
8664,"STOLI GROUP,(USA) LLC",3680,Stolichnaya Ohranj,18.93,24.99,1750,11728,222011.04,11749,297848.51,165749.74,21591.1,18544.49,75837.47,25.46176,1.001790587,1.341593238
12546,JIM BEAM BRANDS COMPANY,1278,Jim Beam Black,26.71,35.99,1750,8275,221025.25,7868,277415.32,195511.55,14462.48,123880.97,56390.07,20.32695,0.95081571,1.255129538
7239,REMY COINTREAU USA INC,5124,Cointreau Liqueur,51.53,66.99,1750,4269,219981.57,4150,279734.5,204523.7,7629.18,16978.67,59752.93,21.36059,0.972124619,1.271626982
8004,SAZERAC CO INC,1398,Blantons Sgl Barrel Bourbon,40.59,56.99,750,5415,219794.85,5339,302732.61,164770.9,4205.64,50293.62,82937.76,27.39637,0.985964912,1.377341689
3960,DIAGEO NORTH AMERICA INC,3397,Ciroc Red Berry Vodka,18.24,24.99,750,12012,219098.88,12058,305545.42,136362.61,9498.55,257032.07,86446.54,28.29253,1.003829504,1.394554915
1128,BROWN-FORMAN CORP,3614,Finlandia Vodka,15.99,19.99,1750,13694,218967.06,13788,287664.12,146053.64,25337.75,68601.68,68697.06,23.88100,1.00686432,1.313732394
12546,JIM BEAM BRANDS COMPANY,1358,Knob Creek Bourbon,42.85,64.99,1750,5105,218749.25,4775,296925.25,229111.24,8778.35,123880.97,78176,26.32851,0.935357493,1.357377225
12546,JIM BEAM BRANDS COMPANY,4269,Calico Jack Spiced Rum,9.22,11.99,1750,23661,218154.42,23702,292863.98,148820.73,43549.61,123880.97,74709.56,25.50999,1.001732809,1.342461821
3960,DIAGEO NORTH AMERICA INC,2723,J & B Rare,21.42,29.99,1750,10153,217477.26,9306,289581.94,166336.26,17103.1,257032.07,72104.68,24.89958,0.916576381,1.331550434
3252,E & J GALLO WINERY,40545,Whitehaven Svgn Bl Marlboro,9.93,14.99,750,21850,216970.5,21477,321940.23,103565.91,2403.61,61966.91,104969.73,32.60535,0.982929062,1.483797244
9815,WINE GROUP INC,31465,Franzia Tap Chard,10.38,15.99,5000,20812,216028.56,20846,347563.54,181829.67,15634.5,27100.41,131534.98,37.84487,1.001633673,1.608877734
1128,BROWN-FORMAN CORP,2062,Woodford Reserve Bourbon,44.11,59.99,1750,4886,215521.46,5017,314043.83,223516.4,9222.25,68601.68,98522.37,31.37217,1.026811298,1.457134849
7245,PROXIMO SPIRITS INC.,8472,1800 Silver Tequila,14.99,20.99,750,14375,215481.25,14364,331230.36,189127.8,11313.6,38994.78,115749.11,34.94520,0.999234783,1.537165577
1392,CONSTELLATION BRANDS INC,28947,R M Woodbridge Merlot Cal,5.91,8.99,1500,36313,214609.83,35634,357635.66,119032.39,7996.23,79528.99,143025.83,39.99205,0.981301462,1.666445847
8352,LUXCO INC,8626,Ezra Brooks,11.67,15.99,1750,18389,214599.63,18180,326500.2,182883.13,33405.66,10261.6,111900.57,34.27274,0.98863451,1.521438783
